event,round,player,playerId,teamId,hole,shot,shotDistance_yds,distanceToPin_yds,shotDistance_m,distanceToPin_m,lieAfterShot,lieAfterShotCode,lieBeforeShot,lieBeforeShotCode,ballHoled,eventType,holeScore,timestamp,isProvisional,isBallDrop,x,z,seqNum,commentary,source
amgen-irish-open-2026,1,Laurie Canter,840,45,9,2,1.2,0.5,1.14,0.44,Green,OGR,Green,OGR,False,DetailedLie,,2026-09-10T15:30:33.000Z,False,False,466662.8101898349,5846387.24036113,287,"Canter missed a four-footer for birdie, leaving 17 inches for par and losing 0.86 strokes *putting*.",feed
amgen-irish-open-2026,1,Laurie Canter,840,45,9,3,0.5,,0.44,,,,,,True,BallHoled,Par,2026-09-10T15:30:37.000Z,False,False,466663.2408719432,5846387.133232638,290,Canter taps in from 17 inches to save par on the ninth.,feed
amgen-irish-open-2026,1,Laurie Canter,840,45,10,1,330.7,226.0,302.39,206.68,Native Area,ONA,,,False,DetailedLie,,2026-09-10T15:46:08.000Z,False,False,466893.22102901444,5846348.963984167,296,"Canter (T76) finds the native area with a 330-yard drive, leaving 226 yards to the hole.",feed
amgen-irish-open-2026,1,Laurie Canter,840,45,10,2,167.7,58.4,153.34,53.36,Fairway,OFW,,,False,DetailedLie,,2026-09-10T15:53:35.000Z,False,False,467040.34266908054,5846304.782956963,300,Canter's approach from the native area advances the ball but leaves 58 yards to the hole on the par-five tenth.,feed
amgen-irish-open-2026,1,Laurie Canter,840,45,10,3,47.9,11.2,43.84,10.23,Fairway,OFW,,,False,DetailedLie,,2026-09-10T15:56:55.000Z,False,False,467083.4794301594,5846296.490219107,304,"Canter's approach from the fairway misses the green, leaving 37 feet to the hole and losing 0.52 strokes *approach*.",feed
amgen-irish-open-2026,1,Laurie Canter,840,45,10,4,12.6,1.5,11.49,1.39,Green,OGR,Fairway,OFW,False,DetailedLie,,2026-09-10T15:58:07.000Z,False,False,467092.5770473031,5846289.444769906,308,"Canter chips from the fairway to five feet, leaving a putt for par on the tenth.",feed
amgen-irish-open-2026,1,Laurie Canter,840,45,10,5,1.5,,1.39,,,,,,True,BallHoled,Par,2026-09-10T16:00:06.000Z,False,False,467091.89694519783,5846290.652274879,311,"Canter sinks a five-footer to save par on the tenth, wrapping up a steady finish to his opening nine.",feed
amgen-irish-open-2026,1,Laurie Canter,840,45,11,1,177.7,10.5,162.52,9.56,Green,OGR,,OBU,False,DetailedLie,,2026-09-10T16:15:16.000Z,False,False,467017.42112642,5846161.747714766,317,"Canter (T71) finds the green from 178 yards, leaving a 31-foot putt on the par-three 11th.",feed
amgen-irish-open-2026,1,Laurie Canter,840,45,11,2,9.7,0.8,8.84,0.73,Green,OGR,Green,OGR,False,DetailedLie,,2026-09-10T16:16:24.000Z,False,False,467024.5744543082,5846156.542880214,321,"Canter missed a 31-footer for birdie, leaving a two-foot putt for par.",feed
amgen-irish-open-2026,1,Laurie Canter,840,45,11,3,0.8,,0.73,,,,,,True,BallHoled,Par,2026-09-10T16:18:20.000Z,False,False,467025.2168678267,5846156.193446444,324,Canter taps in from two feet to save par on the 11th.,feed
amgen-irish-open-2026,1,Laurie Canter,840,45,12,1,264.8,160.5,242.15,146.8,Intermediate Rough,OIR,,,False,DetailedLie,,2026-09-10T16:26:05.000Z,False,False,467058.30116187484,5845896.468805503,330,"Canter (T73) finds the intermediate rough with a 264-yard drive, leaving 160 yards to the hole.",feed
amgen-irish-open-2026,1,Laurie Canter,840,45,12,2,140.9,24.7,128.8,22.54,Green,OGR,Intermediate Rough,OIR,False,DetailedLie,,2026-09-10T16:28:41.000Z,False,False,467088.7492507115,5845771.365537942,334,Canter finds the green from the intermediate rough but leaves a lengthy 74-foot putt remaining.,feed
amgen-irish-open-2026,1,Laurie Canter,840,45,12,3,24.7,0.1,22.57,0.07,Green,OGR,Green,OGR,False,DetailedLie,,2026-09-10T16:31:03.000Z,False,False,467078.7925159692,5845751.115730267,338,"Canter missed a 74-footer for birdie, leaving three inches for par.",feed
amgen-irish-open-2026,1,Laurie Canter,840,45,12,4,0.1,,0.07,,,,,,True,BallHoled,Par,2026-09-10T16:31:13.000Z,False,False,467078.745958902,5845751.164032258,341,Canter taps in from three inches to complete the par on the 12th.,feed
amgen-irish-open-2026,1,Laurie Canter,840,45,13,1,257.2,182.4,235.19,166.75,Rough,ORO,,,False,DetailedLie,,2026-09-10T16:40:02.000Z,False,False,466969.43017716886,5845472.264755559,347,"Canter (T73) finds the rough with a 257-yard drive, leaving 182 yards to the hole.",feed
amgen-irish-open-2026,1,Laurie Canter,840,45,13,2,150.7,31.7,137.81,29.0,Fairway,OFW,,,False,DetailedLie,,2026-09-10T16:45:23.000Z,False,False,466850.6460988944,5845402.033437729,352,Canter's approach from the rough leaves 31 yards to the hole on the 13th.,feed
amgen-irish-open-2026,1,Laurie Canter,840,45,13,3,30.6,1.1,28.02,1.05,Green,OGR,Fairway,OFW,False,DetailedLie,,2026-09-10T16:48:33.000Z,False,False,466827.78906006506,5845385.779012873,356,"Canter sticks his approach from 32 yards to three feet, leaving a makeable putt for par and gaining 0.72 strokes *approach*.",feed
amgen-irish-open-2026,1,Laurie Canter,840,45,13,4,1.1,,1.05,,,,,,True,BallHoled,Par,2026-09-10T16:50:18.000Z,False,False,466826.7756636504,5845385.49832618,359,"Canter sinks a three-footer to save par on the 13th, the hardest hole on the course today.",feed
amgen-irish-open-2026,1,Laurie Canter,840,45,14,1,138.4,20.7,126.56,18.89,Intermediate Rough,OIR,,,False,DetailedLie,,2026-09-10T16:59:52.000Z,False,False,466758.5942053587,5845184.84142202,365,"Canter (T73) misses the green from 129 yards, finding intermediate rough with 21 yards remaining to the hole.",feed
amgen-irish-open-2026,1,Laurie Canter,840,45,14,2,28.8,8.3,26.37,7.57,Green,OGR,Intermediate Rough,OIR,False,DetailedLie,,2026-09-10T17:02:57.000Z,False,False,466743.0872043733,5845206.1786261145,370,"Canter chips from the intermediate rough to 25 feet, losing 0.47 strokes *around the green* and leaving a putt for par.",feed
amgen-irish-open-2026,1,Laurie Canter,840,45,14,3,8.2,0.1,7.53,0.11,Green,OGR,Green,OGR,False,DetailedLie,,2026-09-10T17:07:07.000Z,False,False,466748.36227717664,5845200.790457897,374,"Canter missed a 25-footer for par, leaving four inches for bogey.",feed
amgen-irish-open-2026,1,Laurie Canter,840,45,14,4,0.1,,0.11,,,,,,True,BallHoled,Bogey,2026-09-10T17:07:11.000Z,False,False,466748.3138797926,5845200.689520704,377,Canter taps in from four inches to complete a bogey on the 14th.,feed
amgen-irish-open-2026,1,Laurie Canter,840,45,15,1,258.3,100.5,236.17,91.87,Rough,ORO,,,False,DetailedLie,,2026-09-10T17:14:53.000Z,False,False,466751.30355846486,5845032.134035499,383,"Canter (T83) finds the rough with a 258-yard drive, leaving 100 yards to the hole.",feed
amgen-irish-open-2026,1,Laurie Canter,840,45,15,2,103.3,3.7,94.44,3.36,Green,OGR,Rough,ORO,False,DetailedLie,,2026-09-10T17:19:14.000Z,False,False,466690.43954680656,5844959.8600690495,387,"Canter finds the green from 100 yards out in the rough, leaving an 11-foot birdie opportunity and gaining 0.53 strokes *approach*.",feed
amgen-irish-open-2026,1,Laurie Canter,840,45,15,3,4.1,0.4,3.72,0.36,Green,OGR,Green,OGR,False,DetailedLie,,2026-09-10T17:23:18.000Z,False,False,466694.1151978466,5844960.45025893,392,"Canter missed an 11-footer for birdie, leaving 14 inches for par.",feed
amgen-irish-open-2026,1,Laurie Canter,840,45,15,4,0.4,,0.36,,,,,,True,BallHoled,Par,2026-09-10T17:25:08.000Z,False,False,466693.74985827936,5844960.466198782,395,Canter taps in from 14 inches to save par on the 15th.,feed
amgen-irish-open-2026,1,Laurie Canter,840,45,16,1,194.2,15.1,177.56,13.81,,OGS,,,False,DetailedLie,,2026-09-10T17:33:00.000Z,False,False,466766.52422473487,5844715.80200105,517,"Canter (T97) finds a greenside bunker from the tee, leaving 15 yards to the hole on the par three.",feed
amgen-irish-open-2026,1,Laurie Canter,840,45,16,2,9.8,5.5,8.97,5.0,Green,OGR,,OGS,False,DetailedLie,,2026-09-10T17:34:05.000Z,False,False,466757.5410008088,5844715.956703878,521,"Canter's bunker shot from 15 yards leaves a 16-foot putt for par, losing 0.42 strokes *around the green*.",feed
amgen-irish-open-2026,1,Laurie Canter,840,45,16,3,5.6,0.2,5.09,0.14,Green,OGR,Green,OGR,False,DetailedLie,,2026-09-10T17:36:07.000Z,False,False,466752.6804287854,5844717.5097988425,525,"Canter missed a 16-footer for par, leaving six inches for bogey.",feed
amgen-irish-open-2026,1,Laurie Canter,840,45,16,4,0.2,,0.14,,,,,,True,BallHoled,Bogey,2026-09-10T17:36:09.000Z,False,False,466752.805859772,5844717.580849682,528,Canter taps in from six inches to complete a bogey on the 16th.,feed
amgen-irish-open-2026,1,Laurie Canter,840,45,17,1,257.2,131.9,235.17,120.64,Intermediate Rough,OIR,,,False,DetailedLie,,2026-09-10T17:46:38.000Z,False,False,466580.28083340224,5844426.213414049,534,"Canter (T96) finds the intermediate rough with a 257-yard drive, leaving 131 yards to the hole.",feed
amgen-irish-open-2026,1,Laurie Canter,840,45,17,2,133.6,4.0,122.2,3.64,Green,OGR,Intermediate Rough,OIR,False,DetailedLie,,2026-09-10T17:49:04.000Z,False,False,466459.11879773444,5844408.614542268,538,"Canter finds the green from the intermediate rough, leaving a 12-foot putt for birdie.",feed
amgen-irish-open-2026,1,Laurie Canter,840,45,17,3,4.0,0.0,3.61,0.05,Green,OGR,Green,OGR,False,DetailedLie,,2026-09-10T17:51:55.000Z,False,False,466461.1918094934,5844405.653806687,542,"Canter missed a 12-footer for birdie, leaving two inches for par.",feed
amgen-irish-open-2026,1,Laurie Canter,840,45,17,4,0.0,,0.05,,,,,,True,BallHoled,Par,2026-09-10T17:51:57.000Z,False,False,466461.181593683,5844405.609475702,545,Canter taps in from two inches to save par on the 17th.,feed
amgen-irish-open-2026,1,Laurie Canter,840,45,18,1,261.1,152.8,238.78,139.72,Fairway,OFW,,,False,DetailedLie,,2026-09-10T18:00:11.000Z,False,False,466219.3012383866,5844306.274642949,551,"Canter (T94) finds the fairway with a 261-yard drive, leaving 152 yards to the hole on his closing hole.",feed
amgen-irish-open-2026,1,Laurie Canter,840,45,18,2,161.2,8.4,147.39,7.7,Green,OGR,Fairway,OFW,False,DetailedLie,,2026-09-10T18:04:28.000Z,False,False,466077.64291650004,5844264.631651767,555,"Canter finds the green from 153 yards, leaving a 25-foot putt remaining on the closing hole.",feed
amgen-irish-open-2026,1,Laurie Canter,840,45,18,3,8.4,0.0,7.72,0.04,Green,OGR,Green,OGR,False,DetailedLie,,2026-09-10T18:07:59.000Z,False,False,466085.24593379535,5844266.033141173,559,"Canter missed a 25-footer for birdie on his closing hole, leaving two inches for par.",feed
amgen-irish-open-2026,1,Laurie Canter,840,45,18,4,0.0,,0.04,,,,,,True,BallHoled,Par,2026-09-10T18:08:04.000Z,False,False,466085.22637745563,5844266.066134331,562,Canter taps in from two inches to close his opening round with a par on the 18th.,feed
amgen-irish-open-2026,2,Laurie Canter,840,45,1,1,330.6,157.4,302.35,143.91,Fairway,OFW,,,False,DetailedLie,,2026-09-11T08:06:17.000Z,False,False,466345.0539821416,5844405.338003333,6,"Canter (T92) finds the fairway with a 330-yard drive, leaving 157 yards to the hole.",feed
amgen-irish-open-2026,2,Laurie Canter,840,45,1,2,141.9,17.6,129.77,16.08,Fairway,OFW,,,False,DetailedLie,,2026-09-11T08:10:16.000Z,False,False,466435.1920640834,5844498.82291264,10,"Canter misses the green from the fairway, leaving 17 yards to the hole and losing 0.47 strokes *approach*.",feed
amgen-irish-open-2026,2,Laurie Canter,840,45,1,3,18.1,0.6,16.57,0.54,Green,OGR,Fairway,OFW,False,DetailedLie,,2026-09-11T08:13:58.000Z,False,False,466451.2056179901,5844503.178566694,14,"Canter chips from the fairway to two feet, leaving a short putt for par.",feed
amgen-irish-open-2026,2,Laurie Canter,840,45,1,4,1.1,0.5,0.97,0.44,Green,OGR,Green,OGR,False,DetailedLie,,2026-09-11T08:15:58.000Z,False,False,466450.23804084136,5844503.166599953,18,"Canter missed a two-footer for par, leaving 17 inches for bogey and losing 0.99 strokes *putting*.",feed
amgen-irish-open-2026,2,Laurie Canter,840,45,1,5,0.5,,0.44,,,,,,True,BallHoled,Bogey,2026-09-11T08:16:03.000Z,False,False,466450.66898467223,5844503.273749797,21,Canter taps in from seventeen inches to complete the bogey on his opening hole.,feed
amgen-irish-open-2026,2,Laurie Canter,840,45,2,1,290.3,144.4,265.44,132.05,Rough,ORO,,,False,DetailedLie,,2026-09-11T08:25:08.000Z,False,False,466620.5293923812,5844554.376587645,27,"Canter (T109) finds the rough with a 290-yard drive, leaving 144 yards to the hole.",feed
amgen-irish-open-2026,2,Laurie Canter,840,45,2,2,147.0,8.8,134.43,8.07,Green,OGR,Rough,ORO,False,DetailedLie,,2026-09-11T08:29:03.000Z,False,False,466748.1966532899,5844597.221945369,31,"Canter finds the green from the rough, leaving a 26-foot putt remaining on the second.",feed
amgen-irish-open-2026,2,Laurie Canter,840,45,2,3,9.1,0.3,8.33,0.28,Green,OGR,Green,OGR,False,DetailedLie,,2026-09-11T08:31:24.000Z,False,False,466743.21259502886,5844603.89483908,35,"Canter missed a 26-footer for birdie, leaving 11 inches for par.",feed
amgen-irish-open-2026,2,Laurie Canter,840,45,2,4,0.3,,0.28,,,,,,True,BallHoled,Par,2026-09-11T08:33:29.000Z,False,False,466743.28165467543,5844603.628506789,38,Canter taps in from 11 inches to save par on the second.,feed
amgen-irish-open-2026,2,Laurie Canter,840,45,3,1,292.8,46.0,267.72,42.03,Rough,ORO,,,False,DetailedLie,,2026-09-11T08:40:40.000Z,False,False,466777.690372671,5844907.439046174,44,"Canter (T108) finds the rough with a 292-yard drive, leaving 45 yards to the hole.",feed
amgen-irish-open-2026,2,Laurie Canter,840,45,3,2,46.0,0.7,42.08,0.61,Green,OGR,Rough,ORO,False,DetailedLie,,2026-09-11T08:43:32.000Z,False,False,466740.4413476029,5844927.153397943,48,"Canter finds the green from the rough, leaving a two-foot putt for birdie and gaining 0.83 strokes *approach*.",feed
amgen-irish-open-2026,2,Laurie Canter,840,45,3,3,0.7,,0.61,,,,,,True,BallHoled,Birdie,2026-09-11T08:46:52.000Z,False,False,466740.2085638874,5844926.585624509,51,Canter taps in from two feet to secure the birdie on the third.,feed
amgen-irish-open-2026,2,Laurie Canter,840,45,4,1,332.5,258.2,304.0,236.07,Fairway,OFW,,,False,DetailedLie,,2026-09-11T08:56:14.000Z,False,False,466938.22780499805,5845194.711125713,57,"Canter (T93) finds the fairway with a 332-yard drive, leaving 258 yards to the hole on the par-five fourth.",feed
amgen-irish-open-2026,2,Laurie Canter,840,45,4,2,243.7,15.9,222.86,14.51,Green,OGR,Fairway,OFW,False,DetailedLie,,2026-09-11T09:02:41.000Z,False,False,467100.9282472183,5845347.277384065,61,"Canter finds the green from 258 yards out, leaving a 48-foot putt for eagle on the par five.",feed
amgen-irish-open-2026,2,Laurie Canter,840,45,4,3,16.3,0.6,14.9,0.54,Green,OGR,Green,OGR,False,DetailedLie,,2026-09-11T09:08:57.000Z,False,False,467106.75718197104,5845360.990997547,65,"Canter missed a 48-footer for eagle, leaving a two-foot putt for birdie.",feed
amgen-irish-open-2026,2,Laurie Canter,840,45,4,4,0.6,,0.54,,,,,,True,BallHoled,Birdie,2026-09-11T09:10:50.000Z,False,False,467106.26359161903,5845360.770554059,68,Canter taps in from two feet to complete the birdie on the par-five fourth.,feed
amgen-irish-open-2026,2,Laurie Canter,840,45,5,1,258.6,117.7,236.44,107.63,Fairway,OFW,,,False,DetailedLie,,2026-09-11T09:21:36.000Z,False,False,466916.9017674753,5845308.648044278,74,"Canter (T79) finds the fairway with a 258-yard drive, leaving 117 yards to the hole.",feed
amgen-irish-open-2026,2,Laurie Canter,840,45,5,2,114.6,5.4,104.79,4.93,Green,OGR,Fairway,OFW,False,DetailedLie,,2026-09-11T09:25:32.000Z,False,False,466825.876130413,5845256.438347243,78,"Canter finds the green from 118 yards, leaving a 16-foot putt remaining on the fifth.",feed
amgen-irish-open-2026,2,Laurie Canter,840,45,5,3,5.4,0.0,4.92,0.04,Green,OGR,Green,OGR,False,DetailedLie,,2026-09-11T09:28:22.000Z,False,False,466821.4329697138,5845258.566625785,82,"Canter missed a 16-footer for birdie, leaving two inches for par.",feed
amgen-irish-open-2026,2,Laurie Canter,840,45,5,4,0.0,,0.04,,,,,,True,BallHoled,Par,2026-09-11T09:28:23.000Z,False,False,466821.43797626963,5845258.607495162,85,Canter taps in from two inches to complete the par on the fifth.,feed
amgen-irish-open-2026,2,Laurie Canter,840,45,6,1,261.8,108.8,239.42,99.52,Fairway,OFW,,,False,DetailedLie,,2026-09-11T09:36:16.000Z,False,False,466852.3263619157,5845533.846618918,91,"Canter (T79) finds the fairway with a 261-yard drive, leaving 108 yards to the hole.",feed
amgen-irish-open-2026,2,Laurie Canter,840,45,6,2,111.3,3.0,101.81,2.73,Green,OGR,Fairway,OFW,False,DetailedLie,,2026-09-11T09:42:25.000Z,False,False,466856.7196316801,5845635.51501616,95,"Canter's approach from 109 yards settles nine feet from the hole, leaving a birdie opportunity.",feed
