source,event,round,player,teamId,hole,shot,shotDistance_yds,distanceToPin_yds,lieAfterShot,commentary,shotDistance_m,distanceToPin_m,lieBeforeShot,ballHoled,holeScore,playerId,lieAfterShotCode,lieBeforeShotCode,eventType,timestamp,isProvisional,isBallDrop,x,z,seqNum
feed,bmw-pga-championship-2026,2,Laurie Canter,49,6,1,298.1,126.7,Fairway,"Canter (T111) finds the fairway with a 298-yard drive, leaving 126 yards to the hole.",272.61,115.89,,False,,840,OFW,,DetailedLie,2026-09-18T12:37:14.000Z,False,False,666503.1752737365,5696084.320132157,96
feed,bmw-pga-championship-2026,2,Laurie Canter,49,6,2,135.0,11.1,Rough,"Canter's approach from 127 yards misses the green, settling in the rough 33 feet from the hole and losing 0.49 strokes *approach*.",123.41,10.14,,False,,840,ORO,,DetailedLie,2026-09-18T12:42:55.000Z,False,False,666392.8623411255,5696140.1025188565,100
feed,bmw-pga-championship-2026,2,Laurie Canter,49,6,3,9.6,1.5,Green,"Canter chips from the rough to five feet, leaving a putt for par.",8.76,1.39,Rough,False,,840,OGR,ORO,DetailedLie,2026-09-18T12:44:56.000Z,False,False,666396.2543773572,5696132.031032357,104
feed,bmw-pga-championship-2026,2,Laurie Canter,49,6,4,1.5,,,Canter rolls in a five-footer to save par on the sixth.,1.39,,,True,Par,840,,,BallHoled,2026-09-18T12:47:33.000Z,False,False,666396.7675030093,5696130.7424751865,108
feed,bmw-pga-championship-2026,2,Laurie Canter,49,7,1,255.5,148.0,Fairway,"Canter (T112) finds the fairway with a 255-yard drive, leaving 148 yards to the hole.",233.6,135.34,,False,,840,OFW,,DetailedLie,2026-09-18T12:53:05.000Z,False,False,666355.1966449844,5695942.967217364,114
feed,bmw-pga-championship-2026,2,Laurie Canter,49,7,2,158.8,14.3,Rough,"Canter's approach from 148 yards finds the rough, leaving 14 yards to the hole and losing 0.47 strokes *approach*.",145.22,13.1,,False,,840,ORO,,DetailedLie,2026-09-18T13:00:26.000Z,False,False,666279.1062168109,5695819.207772638,120
feed,bmw-pga-championship-2026,2,Laurie Canter,49,7,3,32.6,19.0,Green,"Canter chips from the rough but leaves a 57-foot putt for par, losing 0.74 strokes *around the green*.",29.85,17.35,Rough,False,,840,OGR,ORO,DetailedLie,2026-09-18T13:02:47.000Z,False,False,666304.3865393954,5695835.1651253505,124
feed,bmw-pga-championship-2026,2,Laurie Canter,49,7,4,25.1,6.7,Intermediate Rough,"Canter missed a 57-footer, leaving six yards to the hole and losing 0.87 strokes *putting*.",22.99,6.08,,False,,840,OIR,,DetailedLie,2026-09-18T13:04:21.000Z,False,False,666289.2014481769,5695817.876316911,128
feed,bmw-pga-championship-2026,2,Laurie Canter,49,7,5,6.5,0.2,Green,"Canter chips from the intermediate rough to six inches, leaving a short putt for double bogey.",5.93,0.16,Intermediate Rough,False,,840,OGR,OIR,DetailedLie,2026-09-18T13:05:00.000Z,False,False,666291.5097998993,5695823.344192746,132
feed,bmw-pga-championship-2026,2,Laurie Canter,49,7,6,0.2,,,Canter taps in from six inches to complete a double bogey on the seventh.,0.16,,,True,DoubleBogeyOrWorse,840,,,BallHoled,2026-09-18T13:05:01.000Z,False,False,666291.5054070213,5695823.506535986,135
feed,bmw-pga-championship-2026,2,Laurie Canter,49,8,1,241.1,148.5,Fairway,"Canter (T129) finds the fairway with a 241-yard drive, leaving 148 yards to the hole.",220.46,135.75,,False,,840,OFW,,DetailedLie,2026-09-18T13:13:34.000Z,False,False,666423.7797286982,5695730.798360294,142
feed,bmw-pga-championship-2026,2,Laurie Canter,49,8,2,154.0,5.6,Green,"Canter finds the green from 148 yards, leaving a 17-foot putt remaining.",140.81,5.09,Fairway,False,,840,OGR,OFW,DetailedLie,2026-09-18T13:18:14.000Z,False,False,666563.6247747226,5695711.90974631,146
feed,bmw-pga-championship-2026,2,Laurie Canter,49,8,3,6.5,0.9,Green,"Canter missed a 17-footer for birdie, leaving a three-foot putt for par.",5.95,0.85,Green,False,,840,OGR,OGR,DetailedLie,2026-09-18T13:22:15.000Z,False,False,666557.6665858763,5695712.032326301,152
feed,bmw-pga-championship-2026,2,Laurie Canter,49,8,4,0.9,,,Canter holes a three-footer for par on the eighth.,0.85,,,True,Par,840,,,BallHoled,2026-09-18T13:22:19.000Z,False,False,666558.5196406437,5695712.014686478,155
feed,bmw-pga-championship-2026,2,Laurie Canter,49,9,1,263.2,179.1,Fairway,"Canter (T129) finds the fairway with a 263-yard drive, leaving 179 yards to the hole.",240.7,163.75,,False,,840,OFW,,DetailedLie,2026-09-18T13:27:39.000Z,False,False,666281.2333719237,5695686.141772588,161
feed,bmw-pga-championship-2026,2,Laurie Canter,49,9,2,196.2,21.0,Green,Canter finds the green from 179 yards but leaves a lengthy 63-foot putt remaining.,179.41,19.16,Fairway,False,,840,OGR,OFW,DetailedLie,2026-09-18T13:35:12.000Z,False,False,666105.3929148428,5695723.579047265,165
feed,bmw-pga-championship-2026,2,Laurie Canter,49,9,3,21.3,0.3,Green,"Canter missed a 63-footer for birdie, leaving a 12-inch putt for par on the ninth.",19.46,0.3,Green,False,,840,OGR,OGR,DetailedLie,2026-09-18T13:36:41.000Z,False,False,666123.5682267129,5695730.636678192,169
feed,bmw-pga-championship-2026,2,Laurie Canter,49,9,4,0.3,,,Canter taps in from 12 inches to save par on the ninth.,0.3,,,True,Par,840,,,BallHoled,2026-09-18T13:36:52.000Z,False,False,666123.2814441007,5695730.552617653,172
feed,bmw-pga-championship-2026,2,Laurie Canter,49,10,1,169.3,16.1,Green,Canter (T129) finds the green from 186 yards but leaves a 48-foot putt remaining on the tenth.,154.82,14.76,,False,,840,OGR,OBU,DetailedLie,2026-09-18T13:43:00.000Z,False,False,666176.7803871739,5695806.439369634,178
feed,bmw-pga-championship-2026,2,Laurie Canter,49,10,2,14.5,1.6,Green,"Canter missed a 48-footer for birdie, leaving a five-foot putt for par on the tenth.",13.27,1.5,Green,False,,840,OGR,OGR,DetailedLie,2026-09-18T13:46:03.000Z,False,False,666189.3593675415,5695810.749187347,182
feed,bmw-pga-championship-2026,2,Laurie Canter,49,10,3,2.1,0.5,Green,"Canter missed a five-footer for par, leaving 18 inches for bogey and losing 0.76 strokes *putting*.",1.95,0.46,Green,False,,840,OGR,OGR,DetailedLie,2026-09-18T13:47:53.000Z,False,False,666191.0743087196,5695811.6820801,186
feed,bmw-pga-championship-2026,2,Laurie Canter,49,10,4,0.5,,,Canter taps in from eighteen inches to complete a bogey on the tenth.,0.46,,,True,Bogey,840,,,BallHoled,2026-09-18T13:47:55.000Z,False,False,666190.7039454496,5695811.414122079,189
feed,bmw-pga-championship-2026,2,Laurie Canter,49,11,1,296.8,130.6,Fairway,"Canter (T132) finds the fairway with a 296-yard drive, leaving 130 yards to the hole on the 11th.",271.41,119.45,,False,,840,OFW,,DetailedLie,2026-09-18T13:53:43.000Z,False,False,666322.1953533103,5696046.327730645,195
feed,bmw-pga-championship-2026,2,Laurie Canter,49,11,2,114.1,16.5,Green,Canter finds the green from 131 yards but leaves a 50-foot putt for birdie on the 11th.,104.36,15.1,Fairway,False,,840,OGR,OFW,DetailedLie,2026-09-18T13:57:32.000Z,False,False,666288.2565755751,5696145.002284115,199
feed,bmw-pga-championship-2026,2,Laurie Canter,49,11,3,17.3,1.8,Green,"Canter missed a 50-footer for birdie, leaving a five-foot putt for par on the 11th.",15.83,1.63,Green,False,,840,OGR,OGR,DetailedLie,2026-09-18T13:59:10.000Z,False,False,666281.1297779524,5696159.137639587,203
feed,bmw-pga-championship-2026,2,Laurie Canter,49,11,4,1.8,,,Canter rolls in a five-footer to save par on the 11th.,1.63,,,True,Par,840,,,BallHoled,2026-09-18T14:02:36.000Z,False,False,666282.7579202219,5696159.059145593,206
feed,bmw-pga-championship-2026,2,Laurie Canter,49,12,1,291.9,225.4,Fairway,"Canter (T132) finds the fairway with a 291-yard drive, leaving 225 yards to the hole on the par-five 12th.",266.93,206.08,,False,,840,OFW,,DetailedLie,2026-09-18T14:09:57.000Z,False,False,666006.5019992129,5696229.117160412,212
feed,bmw-pga-championship-2026,2,Laurie Canter,49,12,2,227.6,12.6,Rough,"Canter's approach from 225 yards finds the rough, leaving 13 yards to the hole.",208.11,11.56,,False,,840,ORO,,DetailedLie,2026-09-18T14:14:48.000Z,False,False,665801.9792284435,5696188.258694539,216
feed,bmw-pga-championship-2026,2,Laurie Canter,49,12,3,11.7,1.2,Green,"Canter chips from the rough to three feet, leaving a short putt for birdie on the par-five 12th.",10.73,1.11,Rough,False,,840,OGR,ORO,DetailedLie,2026-09-18T14:15:54.000Z,False,False,665806.8199603611,5696178.685252484,220
feed,bmw-pga-championship-2026,2,Laurie Canter,49,12,4,1.2,,,Canter rolls in a four-footer for birdie on the par-five 12th.,1.11,,,True,Birdie,840,,,BallHoled,2026-09-18T14:19:03.000Z,False,False,665806.5069889234,5696177.619267763,223
feed,bmw-pga-championship-2026,2,Laurie Canter,49,13,1,279.8,172.1,Fairway,"Canter (T128) finds the fairway with a 279-yard drive, leaving 172 yards to the hole on the 13th.",255.82,157.34,,False,,840,OFW,,DetailedLie,2026-09-18T14:25:10.000Z,False,False,665939.9367867664,5696367.800736351,229
feed,bmw-pga-championship-2026,2,Laurie Canter,49,13,2,64.4,132.5,Fairway,"Canter's approach from the fairway comes up short, leaving 132 yards to the hole and losing 0.81 strokes *approach*.",58.89,121.18,,False,,840,OFW,,DetailedLie,2026-09-18T14:28:41.000Z,False,False,665997.56885843,5696380.490220123,233
feed,bmw-pga-championship-2026,2,Laurie Canter,49,13,3,136.8,5.6,Green,"Canter finds the green from 133 yards, leaving a 17-foot putt for par on the 13th.",125.1,5.08,Fairway,False,,840,OGR,OFW,DetailedLie,2026-09-18T14:33:02.000Z,False,False,666033.4659668425,5696500.314726191,238
feed,bmw-pga-championship-2026,2,Laurie Canter,49,13,4,5.6,0.1,Green,"Canter missed a 17-footer for par, leaving four inches for bogey.",5.1,0.1,Green,False,,840,OGR,OGR,DetailedLie,2026-09-18T14:33:32.000Z,False,False,666029.3140920404,5696497.333929439,242
feed,bmw-pga-championship-2026,2,Laurie Canter,49,13,5,0.1,,,Canter taps in from four inches to complete a bogey on the 13th.,0.1,,,True,Bogey,840,,,BallHoled,2026-09-18T14:33:34.000Z,False,False,666029.276615174,5696497.425972127,245
feed,bmw-pga-championship-2026,2,Laurie Canter,49,14,1,170.1,7.5,Green,"Canter (T131) finds the green from 177 yards, leaving a 22-footer for birdie on the 14th.",155.5,6.85,,False,,840,OGR,OBU,DetailedLie,2026-09-18T14:41:41.000Z,False,False,666160.3067924816,5696640.979101336,251
feed,bmw-pga-championship-2026,2,Laurie Canter,49,14,2,7.5,0.1,Green,"Canter missed a 22-footer for birdie, leaving three inches for par.",6.85,0.08,Green,False,,840,OGR,OGR,DetailedLie,2026-09-18T14:43:49.000Z,False,False,666164.7470261664,5696646.208554018,258
feed,bmw-pga-championship-2026,2,Laurie Canter,49,14,3,0.1,,,Canter taps in from three inches to save par on the 14th.,0.08,,,True,Par,840,,,BallHoled,2026-09-18T14:43:51.000Z,False,False,666164.6828321108,5696646.256661145,261
feed,bmw-pga-championship-2026,2,Laurie Canter,49,15,1,315.1,172.1,Fairway,"Canter (T131) finds the fairway with a 315-yard drive, leaving 172 yards to the hole.",288.15,157.33,,False,,840,OFW,,DetailedLie,2026-09-18T14:52:13.000Z,False,False,666394.5580759554,5696854.332550172,267
feed,bmw-pga-championship-2026,2,Laurie Canter,49,15,2,163.1,9.1,Green,"Canter finds the green from 172 yards, leaving a 27-foot putt for birdie.",149.17,8.36,Fairway,False,,840,OGR,OFW,DetailedLie,2026-09-18T14:59:04.000Z,False,False,666514.9147469224,5696942.809585934,271
feed,bmw-pga-championship-2026,2,Laurie Canter,49,15,3,8.3,0.9,Green,"Canter missed a 27-footer for birdie, leaving a three-foot putt for par.",7.58,0.81,Green,False,,840,OGR,OGR,DetailedLie,2026-09-18T14:59:44.000Z,False,False,666521.8020232611,5696946.001470749,275
feed,bmw-pga-championship-2026,2,Laurie Canter,49,15,4,0.9,,,Canter taps in from three feet to save par on the 15th.,0.81,,,True,Par,840,,,BallHoled,2026-09-18T14:59:49.000Z,False,False,666522.5955361874,5696946.15239823,278
feed,bmw-pga-championship-2026,2,Laurie Canter,49,16,1,289.8,77.4,Rough,"Canter (T132) finds the rough with a 289-yard drive, leaving 77 yards to the hole.",264.97,70.74,,False,,840,ORO,,DetailedLie,2026-09-18T15:10:21.000Z,False,False,666667.6390878703,5697137.476235731,284
feed,bmw-pga-championship-2026,2,Laurie Canter,49,16,2,81.4,7.0,Green,"Canter finds the green from the rough, leaving a 21-foot putt remaining on the 16th.",74.47,6.44,Rough,False,,840,OGR,ORO,DetailedLie,2026-09-18T15:13:57.000Z,False,False,666718.381311168,5697192.073194091,289
feed,bmw-pga-championship-2026,2,Laurie Canter,49,16,3,8.3,1.2,Green,"Canter missed a 21-footer for birdie, leaving a four-foot putt for par.",7.56,1.11,Green,False,,840,OGR,OGR,DetailedLie,2026-09-18T15:18:54.000Z,False,False,666710.8374828579,5697192.731411203,293
feed,bmw-pga-championship-2026,2,Laurie Canter,49,16,4,1.2,,,Canter rolls in a four-footer to save par on the 16th.,1.11,,,True,Par,840,,,BallHoled,2026-09-18T15:19:05.000Z,False,False,666711.9536765503,5697192.683877085,296
feed,bmw-pga-championship-2026,2,Laurie Canter,49,17,1,339.2,262.7,Fairway,"Canter (T125) finds the fairway with a 339-yard drive, leaving 262 yards to the hole on the par-five 17th.",310.15,240.22,,False,,840,OFW,,DetailedLie,2026-09-18T15:27:05.000Z,False,False,667052.2318490645,5697254.6459881,319
feed,bmw-pga-championship-2026,2,Laurie Canter,49,17,2,258.7,11.4,Rough,"Canter's approach from 263 yards finds the rough, leaving 11 yards to the hole.",236.6,10.45,,False,,840,ORO,,DetailedLie,2026-09-18T15:36:05.000Z,False,False,667185.7119873537,5697450.154485151,323
feed,bmw-pga-championship-2026,2,Laurie Canter,49,17,3,13.0,1.6,Green,"Canter chips from the rough to five feet, leaving a birdie opportunity on the par-five 17th.",11.9,1.44,Rough,False,,840,OGR,ORO,DetailedLie,2026-09-18T15:39:54.000Z,False,False,667197.2222063324,5697447.0520788245,327
feed,bmw-pga-championship-2026,2,Laurie Canter,49,17,4,1.6,,,Canter rolls in a five-footer for birdie on the par-five 17th.,1.44,,,True,Birdie,840,,,BallHoled,2026-09-18T15:43:26.000Z,False,False,667195.8222870895,5697447.414971397,330
feed,bmw-pga-championship-2026,2,Laurie Canter,49,18,1,291.2,220.4,Fairway,"Canter (T124) finds the fairway with a 291-yard drive, leaving 220 yards to the hole on the closing par five.",266.28,201.52,,False,,840,OFW,,DetailedLie,2026-09-18T15:53:09.000Z,False,False,667554.9325824417,5697395.292330433,337
feed,bmw-pga-championship-2026,2,Laurie Canter,49,18,2,187.6,33.0,,"Canter's approach from the fairway comes up well short, leaving 74 yards to the hole and losing 1.31 strokes *approach*.",171.55,30.15,,False,,840,OWA,,DetailedLie,2026-09-18T16:01:32.000Z,False,False,667602.0920720126,5697230.388446609,341
feed,bmw-pga-championship-2026,2,Laurie Canter,49,18,3,,74.5,Fairway,,,68.1,,False,,840,OFW,,Penalty,2026-09-18T16:01:35.000Z,False,True,667600.0779358061,5697269.27451583,343
feed,bmw-pga-championship-2026,2,Laurie Canter,49,18,4,71.3,3.9,Green,"Canter's approach from 74 yards settles 12 feet from the hole, leaving a putt for par on the closing hole.",65.24,3.56,Fairway,False,,840,OGR,OFW,DetailedLie,2026-09-18T16:03:06.000Z,False,False,667611.1146860721,5697204.99997776,347
feed,bmw-pga-championship-2026,2,Laurie Canter,49,18,5,3.9,,,"Canter holed a 12-footer for par, gaining 0.73 strokes *putting*.",3.56,,,True,Par,840,,,BallHoled,2026-09-18T16:06:41.000Z,False,False,667613.7243957575,5697202.575781711,350
